facility_name,x,y,address
Loggia Libera Italia #941 / Sons of Italy,-79.893234,40.326129,101 6th St PA 15045
AMF Mt. Lebanon Lanes / Snack Bar #211,-80.049285,40.353876,1601 Washington Road PA 15228
Brackenridge American Legion Post 226,-79.7423445,40.603221,845 1st Avenue PA 15014
Bears Inn,-79.8078645,40.555485,710 Hite Road PA 15049
Alexion's Bar and Grill,-80.067546,40.41549,141 Hawthorne Street PA 15106
UPMC Rooney Sports Complex / Steeler Training Facility Cafe ,-79.95708,40.421952,3400 Water Street PA 15203
Antoon's Pizza Shop,-79.9561665,40.440141,247 Atwood St PA 15213
Smallman Street Deli,-79.97517,40.458051,2840 Smallman Street PA 15222
Clyde & Patti's Lounge,-79.815969,40.540932,901 Freeport Road PA 15024
Donnie's Honeydew,-79.890111,40.451517,553 Brushton  Avenue PA 15208
Al's Cafe,-80.065719,40.312575,435 McMurray Road PA 15102
Gateway Clipper / Duchess,-80.0077365,40.435443,350 Station Square Drive PA 15219
VFW / Montour Valley #7714,-80.236953,40.441401,7971 Steubenville Pike PA 15071
Chub's Place,-80.018235,40.589667,810 Ingomar Road PA 15090
Middle Road Inn,-79.9332435,40.538637,1822 Middle Road PA 15116
Subway Sandwiches & Salads,-79.84395,40.514193,201 Allegheny Avenue PA 15139
DJ's Bar & Grill,-79.8966405,40.457628,7141 Frankstown Avenue PA 15208
Jay's Other Place,-79.9587495,40.558482,3888 Route 8 PA 15101
Ernie's Tavern,-79.735959,40.605777,1102 Brackenridge Avenue PA 15014
Milky Way ,-79.923204,40.433085,2120 Murray  Avenue PA 15217
Subway Sandwiches & Salads #2849,-80.0522055,40.381623,308  Cochran Road PA 15228
 Renaissance Pittsburgh / Braddock's Rebellion / Braddock's Street Side Bar / Fulton's Cafe,-80.00226,40.443813,107 6th Street PA 15222
Tong Garden,-80.017713,40.391802,956 Brookline  Boulevard PA 15226
Green Garden,-80.0498835,40.388877,300 B Beverly Road PA 15216
Subway Sandwiches & Salads #25629,-79.801965,40.541409,1305 Pittsburgh Street PA 15024
Target #2262 / Starbucks,-79.9417395,40.641876,550 Grandview Crossing  Drive PA 15044
Universal Joint ,-79.7909535,40.468527,2310 Main St PA 15235
Pizza & Gyro Express ,-79.8303465,40.351203,801 O'Neil Blvd PA 15132
